timestamp,worker_id,session_id,prompt_code,temperature,frequency_penalty,num_query,num_selected,perc_selected,num_cursor,time,num_event,written_by_human
6/16/2025 15:42,123,f27d4fb136f8447e88e6615a1391ede4,antitrust,0.95,0.5,32,14,44,195,18,1694,52
6/16/2025 17:41,123,bc5c4aa1f7d544e9a91b6492d5ec8f4d,corporate,0.95,0.5,11,4,44,100,13,2751,90
6/17/2025 14:19,123,f9da5086528a4eeab85bbf1b0f8bb279,antitrust,0.95,0.5,7,5,71,41,39,3154,63
6/17/2025 18:16,123,88c5fa736f93401c9fd326f08bcce8bf,corporate,0.95,0.5,2,0,0,14,10,4625,100
6/17/2025 19:39,123,015eaf7198034cbd9fbdf9129bab33c3,antitrust,0.95,0.5,11,9,99,186,21,4631,73
6/25/2025 18:28,acp225,943b2fa1a50843cb8e3a471708b82965,antitrust,0.95,0.5,22,15,68,193,29,4516,46
6/25/2025 19:14,ec952,34131227bb9c4cda93def59524045510,antitrust,0.95,0.5,4,1,25,67,40,7038,93
6/25/2025 20:15,ey285,7acdc6ba156d4ccaa782e59332babda8,corporate,0.95,0.5,6,1,17,10,11,3386,67
6/30/2025 13:26,amc598,dd457e9f8f5742408978fde2493395f1,corporate,0.95,0.5,6,0,0,67,18,4226,100
6/30/2025 10:30,nap68,adee2b5ddc4f4ead92bd719a202d6f7c,antitrust,0.95,0.5,6,6,100,20,7,1946,64
6/30/2025 19:34,mw676,c60a586668674d8abd8145edbb135f90,corporate,0.95,0.5,12,11,92,66,25,501,10